,Thurrock,
Date,Ozone,Status
01/01/2023,69.41710,"P µg/m³"
02/01/2023,35.13264,"P µg/m³"
03/01/2023,52.37049,"P µg/m³"
04/01/2023,55.28089,"P µg/m³"
05/01/2023,52.27902,"P µg/m³"
06/01/2023,64.01208,"P µg/m³"
07/01/2023,70.81409,"P µg/m³"
08/01/2023,75.04663,"P µg/m³"
09/01/2023,50.94856,"P µg/m³"
10/01/2023,57.77552,"P µg/m³"
11/01/2023,67.30045,"P µg/m³"
12/01/2023,70.50895,"P µg/m³"
13/01/2023,60.07888,"P µg/m³"
14/01/2023,67.97853,"P µg/m³"
15/01/2023,62.02469,"P µg/m³"
16/01/2023,44.91156,"P µg/m³"
17/01/2023,4.81463,"P µg/m³"
18/01/2023,15.10911,"P µg/m³"
19/01/2023,10.29449,"P µg/m³"
20/01/2023,25.59485,"P µg/m³"
21/01/2023,21.34568,"P µg/m³"
22/01/2023,9.29664,"P µg/m³"
